MID,Merchant_Name,CONTACT_new,Address,City,Area,addres2,additional location,Telp,Company,Head_Office,status
60142701, SEPINGGAN CC GOLF HOUSE,ROSMEINI, PADANG GOLF SEPINGGAN,BALIKPAPAN,BALIKPAPAN,,,022-6041450,,, 
60072600, HARISON,HIDAYAT SUWANDY, TERMINAL KLANDASAN,BALIKPAPAN,BALIKPAPAN,,,022-4234317,,, 
53142500,HAPPY BOUTIQUE,RAYMIND KING VALENTINO WI,MAL PKU LT DSR BLOK 5 NO 1-5,Pekanbaru,Batam,,,022-7317753,,, 
53139100,BREAD BOUTIQUE,SUYATI SALI,JL GATOT SUBROTO NO 16,Pekanbaru,Batam,,,022-2502662,,, 
53123300,FUJI IMAGE PLZ,JALAL M,JL JEND SUDIRMAN 22-24,Pekanbaru,Batam,,,022-7319193,,, 
53120900,TOKO DONNA,HIRWAN YUNAS,JL A.YANI NO 53 C,Pekanbaru,Batam,,,022-6128777,,, 
53118300,AOWANUSA LESTARI,HASAN,PLZ CITRA LT I JL PEPAYA,Pekanbaru,Batam,,,022-6128777,,, 
53113302,GOSH,.,MAL CIPUTRA LT I NO 25,Pekanbaru,Batam,,,022-70830541,,, 
50942300,GNC,.,THAMRIN PLAZA,MEDAN,MEDAN,,,022-70830541,,, 
50769900,MINI LAND BOUTIQUE,HAN WIE,THAMRIN PLAZA,MEDAN,MEDAN,,,022-70830541,,, 
50712500,WIN WIN DECORATION,DJUHARDJA TUMIWA,KARO,MEDAN,MEDAN,,,022-70830541,,, 
50708300,H20 BOUTIQUE,SULIANNA,SKY CROSS,MEDAN,MEDAN,,,022-70830541,,, 
50698300,GZ BOUTIQUE,THE KIAN TJHONG,THAMRIN PLAZA,MEDAN,MEDAN,,,022-70830541,,, 
50689106,POLO,HANUM SIMBOLON,MEDAN FAIR,MEDAN,MEDAN,,,022-70830541,,, 
50689100,POLO,.,MEDAN MALL,MEDAN,MEDAN,,,022-70830541,,, 
50665900,EURO BAKERY,HERY,WAHIDIN,MEDAN,MEDAN,,,022-70830541,,, 
50661700,ESTIE BOUTIQUE (UWINS),LENNY CAROLINE,MENARA PLAZA,MEDAN,MEDAN,,,022-70830541,,, 
50650800,AOWA,ANDRI S.SOS,GAHARU,MEDAN,MEDAN,,,022-70830541,,, 
50636600,VANESSA BOUTIQUE,MURNI LINDA,MEDAN MALL,MEDAN,MEDAN,,,022-70830541,,, 
50626600,DELI FURNITURE,ALWIE,DELI PLAZA,MEDAN,MEDAN,,,022-70830541,,, 
50624000,BLACK OR WHITE,LAU THIN JAW,MEDAN PLAZA,MEDAN,MEDAN,,,022-70830541,,, 
50607500,TUMBLE TOTS,SYLVIA WIDJAJA,Kpt. Pattimura,MEDAN,MEDAN,,,022-70830541,,, 
50591500,ASURANSI SINAR MAS,ALFIAN,MANGKUBUMI,MEDAN,MEDAN,,,022-70830541,,, 
50567500,LABORATORIUM THAMRIN,DR.HELY,THAMRIN,MEDAN,MEDAN,,,022-70830541,,, 
50518700,DEKORINDO,HARRY S,PUTRI HIJAU,MEDAN,MEDAN,,,022-70830541,,, 
50495503,YAYASAN SUKSES MANDIRI,HASAN TAHIR,MAYANG,MEDAN,MEDAN,,,022-70830541,,, 
50495502,YAYASAN SUKSES MANDIRI,HASAN TAHIR,BINJAI,BINJAI,MEDAN,,,022-70830541,,, 
50495500,YAYASAN SUKSES MANDIRI,HASAN TAHIR,SUASA,MEDAN,MEDAN,,,022-70830541,,, 
50493900,BATHROOM BOUTIQUE,HUSIN SUSANTO,ZAINUL ARIFIN,MEDAN,MEDAN,,,022-70830541,,, 
50484300,KOALA,AMIN,GATOT SUBROTO,MEDAN,MEDAN,,,022-70830541,,, 
50410306,SUZUYA,ALDES MARYONO,BINJAI,BINJAI,MEDAN,,,022-70830541,,, 
50410302,SUZUYA SWALAYAN,FUJI/MERRY,Sutomo,SIANTAR,MEDAN,,,022-70830541,,, 
50410301,SUZUYA,ALDES MARYONO,BINJAI,BINJAI,MEDAN,,,022-70830541,,, 
50372513,DASH 8,LIANNY LIDO/ANTON,MEDAN FAIR,MEDAN,MEDAN,,,022-70830541,,, 
50310204,DRTV,BUDIANTO THIO,SUN PLAZA,MEDAN,MEDAN,,,022-70830541,,, 
50100705,ASLI,STEVEN JINGGA,GAJAH MADA,MEDAN,MEDAN,,,022-70830541,,, 
50100701,ASLI,STEVEN,ZAINUL ARIFIN,MEDAN,MEDAN,,,022-70830541,,, 
50072800,GARUDA MAS,SRIWATY SUKWANTO,MEDAN PLAZA,MEDAN,MEDAN,,,022-70830541,,, 
43962700,DONINI,DAVEY TANUWIDJAJA,SOLO SQUARE 451-455,SOLO,YOGYAKARTA,,,022-70830541,,, 
43956900,DIAN FURNITURE,HARYANTO,JL. TIRTOSUMIRATI 1,SOLO,YOGYAKARTA,,,,,, 
43951900,IMPERIAL KOSMETIK,JENNY TRI JANTI,JL GATOT SUBROTO 94,SOLO,YOGYAKARTA,,,,JEMMY WANTONO,JKT, 
43911900,OPTIK INTERNATIONAL,LINGGARJANTO BUDI UTOMO,JL GATOT SUBROTO  99,SOLO,YOGYAKARTA,,,,JEMMY WANTONO,JKT, 
43901900,GORO ASS,NARWANTO/YOYOK HARSONO,PABELAN SOLO,SOLO,YOGYAKARTA,,,,JEMMY WANTONO,JKT, 
43901900,GORO ASS,NARWANTO/YOYOK HARSONO,PABELAN SOLO,SOLO,YOGYAKARTA,,,,JEMMY WANTONO,JKT, 
43901900,GORO ASS,NARWANTO/YOYOK HARSONO,PABELAN SOLO,SOLO,YOGYAKARTA,,,,JEMMY WANTONO,JKT, 
43901900,GORO ASS,NARWANTO/YOYOK HARSONO,PABELAN SOLO,SOLO,YOGYAKARTA,,,,PT.GRAMEDIA ASRI MEDIA,, 
43901900,GORO ASS,NARWANTO/YOYOK HARSONO,PABELAN SOLO,SOLO,YOGYAKARTA,,,,PT.GRAMEDIA ASRI MEDIA,, 
43901900,GORO ASS,NARWANTO/YOYOK HARSONO,PABELAN SOLO,SOLO,YOGYAKARTA,,,,PT.GRAMEDIA ASRI MEDIA,, 
43714312,NATASHA SKIN CARE,DRG.TANTRI ONNY BIANTI,PLAZA AMBARUKMO B 4-6,YOGYAKARTA,YOGYAKARTA,,,,PT.GRAMEDIA ASRI MEDIA,, 
41139301,Roger salon & Spa,ROGER TJAKRADISURYA,Pelajar Pejuang 76,Bandung,Bandung,,,,SUSY,, 
41139300,Roger salon & Spa,ROGER TJAKRADISURYA,Ir.H.Juanda 97,Bandung,Bandung,,,,PT.TUJUH BELAS AGUSTUS SENTOSA,, 
41019200,Cambridge,ERLINAWATI SALIM,Sultan Tirtayasa 15,Bandung,Bandung,,,,JOHN,, 
41000000,Natasha Skin Care,DRG TANTRY ONNY B,Talaga Bodas 37A,Bandung,Bandung,,,,JOHN,, 
40995000,Elang,SELVIA,Jl. Elang,Bandung,Bandung,,,,KASAN,, 
40985000,Toko OSAMA,AGUS HANDAJANTO,Kiaracondong 14,Bandung,Bandung,,,,ANTO,, 
40969200,Holland Bakery,ADE CHANDRA,Gatot Subroto 27,Bandung,Bandung,,,,PT.SUPRA BINA LESTARI,, 
40966802,Metro Diamond,LANNY WIKARSA,BTC,Bandung,Bandung,,,,ISLAMIAH AFDAL,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,SOEJOKO,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,LINA ANWAR,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,RESTU YONO M,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,H.SYAFRI SALEH S,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,NINA RIVALINA,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,PT.Mulia Asri Utama,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,PT.Jabalu Media Internusa,JKT, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,Jacky Brilliantika CC,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,PT.Lion Mentari,JKT, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,Amran Syarif,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,26491/31317,"Josheri,SE",, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,Indira Malik,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,Chiam Tak Heng,JKT, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,JOHAN IRAWAN,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,PT.MATAHARI PUTRA PRIMA,JKT, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,PT.MATAHARI PUTRA PRIMA,JKT, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,PT.WIRA VIONA,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,PT.KARYAMITRA BUDISENTOSA,SURABAYA, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,SOON MUN PENG,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,HIRWAN YUNAS,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,PT.MODREN PUTRA INDONESIA,JKT, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,SUYATI SALI,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,,RAYMIND KING VALENTINO WILLIM,MEDAN, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,0411 315244,,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,0411 424225,,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,0411 310310,,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,0411 834401,,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,0411 320770,,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,0411 318525,,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,0411 350133,,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,0411 877555,,, 
40956802,Carrefour,ARIYANTI TJANDRA,Sukajadi 139,Bandung,Bandung,,,0411 3650187,,, 
40956801,Carrefour X-Pay,0,Mollis,Bandung,Bandung,,,0411 311078,,, 
40956801,Carrefour X-Pay,0,Mollis,Bandung,Bandung,,,0411 321467,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 318538,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 424178,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 317791,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 423612,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411  870991,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 350190,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 423601,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 423601,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 328171,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 456000,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 330950,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 310887,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 834442,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 333997,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 834478,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 424221,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 444111,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 441001,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 330281,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 315824,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 311371,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 423322,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 328329,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 315901,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 448851,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 322743,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 424250,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 424229,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 834485,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 316923,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 310215,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 323795,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 4663833,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 851950,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,411,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 316292,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0411 322390,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0431 841273,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0431 8881441,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0431 845108,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0431 855378,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0431-814370,,, 
40956800,Carrefour,.,Mollis,Bandung,Bandung,,,0431 854750,,, 
40937700,Electronic City,BP SABASTIAN,BEMall,Bandung,Bandung,,,0431 855500,,, 
40937700,Electronic City,BP SABASTIAN,BEMall,Bandung,Bandung,,,0431 826555,,, 
40937700,Electronic City,BP SABASTIAN,BEMall,Bandung,Bandung,,,0431 826017,,, 
40927700,Cipaganti Rental,ANDIANTO SETIABUDI,Cipaganti 84,Bandung,Bandung,,,0431 879439,,, 
40895900,ABC,JOJOH KRISNA SENIATI,Cihampelas 178,Bandung,Bandung,,,0431 852304,,, 
40893300,Jonas Photo,.,Banda 36-38,Bandung,Bandung,,,0431 851147,,, 
40891700,Cv.Panca Diagnostic,AGUNG SUTANTO,Gatot Subroto 136,Bandung,Bandung,,,,,, 
40885800,Golden Tiger Computer,DANIEL S,Gd.Jaya Plaza Lt.2 Blk.A4,Bandung,Bandung,,,0431 864725,,, 
40881602,PT.Shafira Laras Persada,DRS H MURZID HA,Sulanjana 28,Bandung,Bandung,,,0431 862817,,, 
40881600,Safira Laras Persada,DRS HM MURZID HA,Buah Batu 165,Bandung,Bandung,,,0967 81361,,, 
40873200,Indosal Utama,TEDDY SABUR/YOHAN SABUR,Dewi Sartika 28,Bandung,Bandung,,,0967 81361,,, 
40868500,Alvita Darma,IRWAN GATOT,Buah Batu 119,Bandung,Bandung,,,0967 585390,,, 
40760904,House Of Wacoal,DRS.DARMAWAN TRIOSA,"BSM Lt.2, B218",Bandung,Bandung,,,0451 422194,,, 
40717500,Orbta Opical,H ENDANG SUPRATMAN,Jl. HZ. Mustopa,Tasik,Bandung,,,0451 481581,,, 
40625302,Perk.Golf Bandung,PT.DAGO ENDAH GOLF/H.AMIR,Dago Atas 78,Bandung,Bandung,,,0451 23384,,, 
40564105,Prodia,DRA.MARIASRI A./SHINTA.F,Jl. Kopo,Bandung,Bandung,,,0451 423344,,, 
40486313,DRTV Innovation Store,KOESMULYONO BOENADI,Mollis,Bandung,Bandung,,,,,, 
36820100,BLUE SKY T& T,DWI ERI WIJAYANTO,JL. LAKSDA ADISUCIPTO 38,YOGYAKARTA,YOGYAKARTA,,,0451 429500,,, 
36819301,POSH BOY AMBARUKMO,IRWAN WIDJAJA,PLZ AMBARUKMO LT B 38,YOGYAKARTA,YOGYAKARTA,,,,,, 
36816900,SUMBER BARU PERKASA,YUDY HARSONO,JL. BRIGJEN KATAMSO 183,YOGYAKARTA,YOGYAKARTA,,,0401 395683,,, 
36813501,BELLAGIO,MARCELLINE,PLAZA AMBARUKMO,YOGYAKARTA,YOGYAKARTA,,,0951 328038,,, 
36709100,ADIL JAYA TK MEBEL,FRANS ARYANTO,JL. URIP SOMOHARJO157,YOGYAKARTA,YOGYAKARTA,,,0951 321184,,, 
36708300,BINTANG FAJAR HOTEL,CH M SRI SUWANDARI,JL. P KEMERDEKAAN 87,YOGYAKARTA,YOGYAKARTA,,,0951 331088,,, 
36679100,KOMBOKARNO UTAMA HOTEL,EMILIA K,JL. MGKBUMI 60,YOGYAKARTA,YOGYAKARTA,,,,,, 
36678302,REEBOK,RANI,MALIOBORO MALL,YOGYAKARTA,YOGYAKARTA,,,,,, 
36678300,NAUTICA,RANI,MALIOBORO MALL,YOGYAKARTA,YOGYAKARTA,,,,,, 
36674100,"FORTUNA,CV",AGUNG HARTONO,JL. SURYOTOMO 14,YOGYAKARTA,YOGYAKARTA,,,,,, 
36670900,BELLAGIO,ALI TANUWIDJAJA,MALIOBORO MALL,YOGYAKARTA,YOGYAKARTA,,,,,, 
36667502,POLO,JEMMY WANTONO,JL. MALLIOBORO,YOGYAKARTA,YOGYAKARTA,,,,,, 
36667500,POLO BANDARA,JEMMY WANTONO,JL.ADISUCIPTO/BANDARA,YOGYAKARTA,YOGYAKARTA,,,,,, 
36666700,BAKTI PUTRA T&T,MANAN SE,JL. AHMAD JAZULI 37,YOGYAKARTA,YOGYAKARTA,,,,,, 
36643300,RUMAH SLEMAN,NADIA KRASNA ANNA,JL. PURBOYO NO. 3 SLEMAN,YOGYAKARTA,YOGYAKARTA,,,,,, 
36640900,AMARTA COMPUTER,SOHARMAN MARBUN,JL COLOMBO 3,YOGYAKARTA,YOGYAKARTA,,,,,, 
36599100,BATIK KENCONO UNGU,TOMMY YUNANTO,JL. GEJAYAN NO. 13 A,YOGYAKARTA,YOGYAKARTA,,,,,, 
36595900,HAMMER MALIOBORO MALL,INDRI PANCA WATI,MALIOBORO MALL LT. DSR,YOGYAKARTA,YOGYAKARTA,,,,,, 
36557502,GERAI AFTER HOUR,ANSAR,PAKUNINGRANTAN,YOGYAKARTA,YOGYAKARTA,,,,,, 
36545514,PLANET SPORT,SITI,MALIOBORO MALL,YOGYAKARTA,YOGYAKARTA,,,,,, 
36545503,GH-MALIOBORO PLAZA,SITI,MALIOBORO PLAZA LT. 1,YOGYAKARTA,YOGYAKARTA,,,,,, 
36545501,THE ATLETE`S FOOT,SITI,MALIOBORO MALL LT. II,YOGYAKARTA,YOGYAKARTA,,,4513513,,, 
36543901,TOKO SRIRATU WINA,FUK HIN,JL. PEMUDA NO. 45,MAGELANG,YOGYAKARTA,,,,,, 
36516503,VINOLIA BABY KIDS,JOHAN ADI PURNAMA,JL. URIPSOMOHARJO 40,YOGYAKARTA,YOGYAKARTA,,,,,, 
36489001,GOSH,ALI TANUWIDJAYA,MALIOBORO MALL UG II,YOGYAKARTA,YOGYAKARTA,,,,,, 
36480503,SPORT STATION,SITI ROCHAYATI,SAPHIR SQUARE LT UG,YOGYAKARTA,YOGYAKARTA,,,,,, 
36411000,SS MALIOBORO PLAZA,POERWANTO,MALIOBORO PLAZA LT.I /3-4,YOGYAKARTA,YOGYAKARTA,,,,,, 
36392107,BLUZA,TOTOK WIJANARKO,PLAZA AMBARUKMO,YOGYAKARTA,YOGYAKARTA,,,,,, 
36281404,KARITA,DYAH SUMINAR,JL. C. SIMANJUNTAK,YOGYAKARTA,YOGYAKARTA,,,,,, 
35960900,EDWARD FORRER,FATCHIYAH,JL SUDIRMAN 194,PURWOKERTO,YOGYAKARTA,,,,,, 
35944100,MADURODAM HOTEL,AGUS BASTIAN,JL PARIWISATA 99,PURWOKERTO,YOGYAKARTA,,,,,, 
33529000,TOKO GUNUNG MAS,DJINAR SOEHARDJO,Jl. Diponegoro,Bontang,BALIKPAPAN,,,,,, 
33154900,Wings Air,REZA,Mal Lembuswana,Samarinda,BALIKPAPAN,,,,,, 
33149900,Lion Air,REZA,Komp. Mal Lembuswana,Samarinda,BALIKPAPAN,,,,,, 
