MID,Merchant_Name,CONTACT_new,Address,City,Area,addres2,additional location,Telp,Company,Head_Office,status
29157566,OPS (TERMINAL BC),RUTH,TERMINAL FERRY LT. 2- BATAM CENTER,Batam,Batam,,,,PT. Warna Mardika,Jakarta, 
29157560,POLO (VISTA HOTEL),JEMMY WANTONO,"D/A.HOTEL VISTA, KOMP. TOP VIEW",Batam,Batam,,,,Khasanah Muslim Al Fath,Yogyakarta, 
29157548,CK (TERMINAL BC),JEMMY WANTONO,FERRY TERMINAL INT'L- BATAM CENTER,Batam,Batam,,,,KOMBOKARNO UTAMA HOTEL,Yogyakarta, 
29157546,POLO TERMINAL - BATAM CENTER,JEMMY WANTONO,FERRY TERMINAL INT'L- BATAM CENTER,Batam,Batam,,,,Natasya Group,Yogyakarta, 
27263100,MUSTIKA TAILOR,TJHIA RUDIANTO,MALL AYANI,Pontianak,BALIKPAPAN,,,,PT. Mitra Adi Perkasa,Jakarta, 
27261500,SUPERSTORE,SUKIMIN TARJONO,MALL GAJAH MADA,Pontianak,BALIKPAPAN,,,,PT. Mitra Adi Perkasa,Jakarta, 
27260700,PONDOK NELAYAN,EDDY GUNAWAN,KOMP KARTIKA PURI,Pontianak,BALIKPAPAN,,,,Primajaya Pantes Garment,Jakarta, 
27259900,C & F Perfumery,0,A Yani Mall,Pontianak,BALIKPAPAN,,,,Primajaya Pantes Garment,Jakarta, 
27258100,CAFÉ DE ONE,YEAN FRANS F,A Yani Mall Lt. 3,Pontianak,BALIKPAPAN,,,,POSH BOY AMBARUKMO,Jakarta, 
27257301,POLO,ARVA,Bandara Supadio,Pontianak,BALIKPAPAN,,,,PT. Mitra Adi Perkasa,Jakarta, 
27257300,POLO,JEMMY WANTONO,A Yani Mall,Pontianak,BALIKPAPAN,,,,RUMAH SLEMAN,Yogyakarta, 
27227302,CITY HARDWARE,HERMAWAN WONGSO,A Yani Mall,Pontianak,BALIKPAPAN,,,,PT. Mitra Adi Perkasa,Jakarta, 
27227300,CITY HARDWARE,HERMAWAN WONGSO ST,Gajah mada Mal,Pontianak,BALIKPAPAN,,,,PT. Mitra Adi Perkasa,Jakarta, 
27223100,RESTORAN FAJAR,PIOK GWE MOCHSEN,Jl. Veteran,Pontianak,BALIKPAPAN,,,,SUMBER BARU PERKASA,Yogyakarta, 
27221500,RESTAURANT MOUTH,MARTIN SUBEKTI SUNGGONO,Gajah mada Mal,Pontianak,BALIKPAPAN,,,,PT. Mitra Adi Perkasa,Jakarta, 
27210700,ASABA ELEKTRONIK,FERRY LISTIANTO,Nusa indah I,Pontianak,BALIKPAPAN,,,,PT. Gardena Graha,Yogyakarta, 
27100500,RESTORAN DANGAU,SUHARDIMAN,Jl. A. Yani II,Pontianak,BALIKPAPAN,,,0271-720057,DIAN FURNITURE,Solo, 
26360700,PT.Pro Team,JOHN,Jl.Ir.Juanda No. 16B,Padang,Batam,,,0271-724777,DONINI,Surabaya, 
26357300,Pink Boutique,INDIRA MALIK,Jl.Dr.Sutomo No. 59A,Padang,Batam,,,0271-743333,PT. Assalam Niaga Utama,Solo, 
26352300,Efje Travel,"JOSHERI,SE",Jl.A.Yani,Padang,Batam,,,0271-743333,PT. Assalam Niaga Utama,Solo, 
26346500,Adinegoro Swalayan,AMRAN SYARIF,Jl.Adinegoro No 7 b Padang,Padang,Batam,,,0271-743333,PT. Assalam Niaga Utama,Solo, 
26341500,Lion Air,AMIN,D/A Pangeran Hotel Jl.S.Parman,Padang,Batam,,,0271-743333,PT. Assalam Niaga Utama,Solo, 
26339900,Swarna Bumi,JACKY B.CC,Jl.S.Parman 229A/Ulak Karang Padang,Padang,Batam,,,0271-743333,PT. Assalam Niaga Utama,Solo, 
26336500,Toko Annatia,SRI FIAL,Jln Panorama No.21 Bkt,BUKIT TINGGI,Batam,,,0271-743333,PT. Assalam Niaga Utama,Solo, 
26331500,Toko Mas H Syafri S,H.SYARFRI S,Jln Minang Kabau no 35,BUKIT TINGGI,Batam,,,0271-666870,IMPERIAL KOSMETIK,Jakarta, 
26327300,PT.Jabalu Media Internusa (innovation),FRIDA TIRTADJAJA,Jl.Diponegoro no 17 D Padang,Padang,Batam,,,0271-642923,OPTIK INTERNATIONAL,Malang, 
26270300,Mulia Asri,CHAIDIR,Komp.Minang Plaza air tawar padang,Padang,Batam,,,0281-638159,EDWARD FORRER,Purwokerto, 
10014700,MONALISA FURNITURE,SURYANTO,JL.LETKOL.ISKANDAR NO.544 PLG,PALEMBANG,BATAM,,,0281-681111,MADURODAM HOTEL,Purwokerto, 
